epoch,n_loss,i_loss,mean_values
279,0.08704251,0.17219293,0.12052957
280,0.08700627,0.17206777,0.12229811
281,0.08678331,0.167107725,0.11757805
282,0.086665846,0.17017165,0.1308972
283,0.08652013,0.16905391,0.13654652
284,0.08649891,0.16834428,0.08906159
285,0.086470335,0.16547677,0.112593055
286,0.08644141,0.16979326,0.13527493
287,0.08634473,0.16676074,0.14414917
288,0.08616765,0.17188523,0.13296512
289,0.08600729,0.168204525,0.13178153
290,0.08586846,0.16850404,0.119355835
291,0.08585276,0.16721764,0.11594977
292,0.085712976,0.16615334,0.14621729
293,0.08497811,0.163898365,0.11552028
294,0.08496678,0.164283,0.118972026
295,0.08493456,0.16464832,0.15502927
296,0.084915704,0.166581915,0.10839982
297,0.08468893,0.165958055,0.12388474
298,0.08454234,0.16511354,0.12430249
299,0.08442913,0.16426067,0.15649757
300,0.08432761,0.16318764,0.119769014
301,0.0842919,0.16214013,0.120288216
302,0.0841781,0.16352573,0.097447485
303,0.08417801,0.163423845,0.17010869
304,0.08414998,0.164016255,0.11455741
305,0.084042906,0.1639381,0.12551811
306,0.08389504,0.16244433,0.12771149
307,0.08375163,0.16120224,0.12195934
308,0.08352911,0.16361841,0.13466273
309,0.08347399,0.1624891,0.14196794
310,0.08342168,0.161203005,0.14384545
311,0.08339877,0.160422095,0.12875308
312,0.08311551,0.160037556,0.12217973
313,0.08300681,0.162309215,0.13919178
314,0.082863874,0.16115986,0.13524258
315,0.082715764,0.15995977,0.09934995
316,0.08265978,0.16118664,0.1377771
317,0.08257869,0.15993577,0.1274146
318,0.08222105,0.15923127,0.12404438
319,0.08217667,0.16154026,0.14980039
320,0.08164689,0.160493904,0.1338662
